2024-05-05 16:20:40,313,Episode Start - Observation: [0 0 0 0 0]
2024-05-05 16:20:40,334,Step: 5, Action: 2, Reward: 10.5, Observation: [2 0 1 0 2], Done: False
2024-05-05 16:20:40,339,Step: 10, Action: 1, Reward: 10.7, Observation: [3 1 1 0 1], Done: False
2024-05-05 16:20:40,345,Step: 15, Action: 0, Reward: 10.8, Observation: [3 3 2 1 0], Done: False
2024-05-05 16:20:40,352,Step: 20, Action: 4, Reward: 10.9, Observation: [4 6 2 1 4], Done: False
2024-05-05 16:20:40,359,Step: 25, Action: 3, Reward: 10.7, Observation: [4 6 2 2 3], Done: False
2024-05-05 16:20:40,367,Step: 30, Action: 0, Reward: 11.3, Observation: [4 8 3 3 0], Done: False
2024-05-05 16:20:40,376,Step: 35, Action: 4, Reward: 11.3, Observation: [6 7 3 4 4], Done: False
2024-05-05 16:20:40,385,Step: 40, Action: 2, Reward: 11.1, Observation: [6 7 6 5 2], Done: False
2024-05-05 16:20:40,394,Step: 45, Action: 1, Reward: 10.9, Observation: [7 7 7 4 1], Done: False
2024-05-05 16:20:40,403,Step: 50, Action: 1, Reward: 10.700000000000001, Observation: [8 6 9 6 1], Done: False
2024-05-05 16:20:40,412,Step: 55, Action: 1, Reward: 10.3, Observation: [ 8  7 10  9  1], Done: False
2024-05-05 16:20:40,422,Step: 60, Action: 0, Reward: 9.6, Observation: [ 8  6  9 10  0], Done: False
2024-05-05 16:20:40,431,Step: 65, Action: 1, Reward: 9.6, Observation: [10  6  7 10  1], Done: False
2024-05-05 16:20:40,440,Step: 70, Action: 2, Reward: 8.9, Observation: [12  4  7  9  2], Done: False
2024-05-05 16:20:40,450,Step: 75, Action: 0, Reward: 9.200000000000001, Observation: [13  5  6  6  0], Done: False
2024-05-05 16:20:40,460,Step: 80, Action: 1, Reward: 8.700000000000001, Observation: [14  5  4  7  1], Done: False
2024-05-05 16:20:40,470,Step: 85, Action: 1, Reward: 8.0, Observation: [16  3  5  8  1], Done: False
2024-05-05 16:20:40,479,Step: 90, Action: 4, Reward: 7.500000000000001, Observation: [18  4  7 10  4], Done: False
2024-05-05 16:20:40,489,Step: 95, Action: 1, Reward: 7.9, Observation: [19  6 10 11  1], Done: False
2024-05-05 16:20:40,500,Step: 100, Action: 1, Reward: 6.8, Observation: [20  7 11 12  1], Done: False
2024-05-05 16:20:40,510,Step: 105, Action: 1, Reward: 5.200000000000001, Observation: [21  7 14 14  1], Done: False
2024-05-05 16:20:40,521,Step: 110, Action: 0, Reward: 4.5, Observation: [22  6 15 17  0], Done: False
2024-05-05 16:20:40,531,Step: 115, Action: 3, Reward: 6.200000000000001, Observation: [22  6 13 17  3], Done: False
2024-05-05 16:20:40,542,Step: 120, Action: 1, Reward: 9.1, Observation: [20  4 16 18  1], Done: False
2024-05-05 16:20:40,552,Step: 125, Action: 4, Reward: 6.6, Observation: [23  5 18 21  4], Done: False
2024-05-05 16:20:40,562,Step: 130, Action: 3, Reward: 2.8000000000000007, Observation: [22  9 18 22  3], Done: False
2024-05-05 16:20:40,573,Step: 135, Action: 3, Reward: 6.400000000000002, Observation: [19 12 19 22  3], Done: False
2024-05-05 16:20:40,585,Step: 140, Action: 1, Reward: 4.9, Observation: [15 12 20 24  1], Done: False
2024-05-05 16:20:40,596,Step: 145, Action: 3, Reward: 3.7, Observation: [15  9 21 25  3], Done: False
2024-05-05 16:20:40,607,Step: 150, Action: 0, Reward: 3.0999999999999996, Observation: [13 11 18 26  0], Done: False
2024-05-05 16:20:40,618,Step: 155, Action: 3, Reward: 6.2, Observation: [11 12 16 26  3], Done: False
2024-05-05 16:20:40,629,Step: 160, Action: 0, Reward: 5.2, Observation: [ 8 15 16 26  0], Done: False
2024-05-05 16:20:40,641,Step: 165, Action: 2, Reward: 6.3, Observation: [ 7 17 16 25  2], Done: False
2024-05-05 16:20:40,662,Step: 170, Action: 1, Reward: 10.299999999999999, Observation: [ 8 15 18 23  1], Done: False
2024-05-05 16:20:40,674,Step: 175, Action: 0, Reward: 8.400000000000002, Observation: [10 12 16 24  0], Done: False
2024-05-05 16:20:40,684,Step: 180, Action: 1, Reward: 6.7, Observation: [11 10 14 25  1], Done: False
2024-05-05 16:20:40,696,Step: 185, Action: 4, Reward: 5.6000000000000005, Observation: [12  7 14 26  4], Done: False
2024-05-05 16:20:40,707,Step: 190, Action: 0, Reward: 2.0, Observation: [16  9 12 27  0], Done: False
2024-05-05 16:20:40,718,Step: 195, Action: 0, Reward: 2.499999999999999, Observation: [17 10  9 28  0], Done: False
2024-05-05 16:20:40,730,Step: 200, Action: 2, Reward: 3.0, Observation: [17 12  8 29  2], Done: False
